Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Date of Launch,Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Year of Launch_1974,Year of Launch_1978,Year of Launch_1988,Year of Launch_1989,Year of Launch_1990,Year of Launch_1991,Year of Launch_1992,Year of Launch_1993,Year of Launch_1994,Year of Launch_1995,Year of Launch_1996,Year of Launch_1997,Year of Launch_1998,Year of Launch_1999,Year of Launch_2000,Year of Launch_2001,Year of Launch_2002,Year of Launch_2003,Year of Launch_2004,Year of Launch_2005,Year of Launch_2006,Year of Launch_2007,Year of Launch_2008,Year of Launch_2009,Year of Launch_2010,Year of Launch_2011,Year of Launch_2012,Year of Launch_2013,Year of Launch_2014,Year of Launch_2015,Year of Launch_2016
Cosmos 2488,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1478.0,1509.0,0.00197,82.5,115.9,280,,300,2013-12-25,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-076A,39483.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Cosmos 2489,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1477.0,1507.0,0.00191,82.5,115.8,280,,300,2013-12-25,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-076B,39484.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Cosmos 2490,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1482.0,1511.0,0.00184,82.5,115.8,280,,300,2013-12-25,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-076C,39485.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Cosmos 2496,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1480.0,1511.0,0.00197,82.44,115.88,280,,300,2014-05-23,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2014-028A,39761.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Cosmos 2497,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1478.0,1510.0,0.00203,82.45,115.85,280,,300,2014-05-23,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2014-028B,39762.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Cosmos 2498,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1477.0,1509.0,0.00203,82.44,115.82,280,,300,2014-05-23,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2014-028C,39763.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Cosmos 2507,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1497.0,1506.0,0.000572,82.5,116.01,280,,300,2015-09-23,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2015-050A,40920.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Cosmos 2508,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1496.0,1504.0,0.000508,82.49,115.99,280,,300,2015-09-23,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2015-050B,40921.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Cosmos 2509,Russia,Ministry of Defense,Russia,Military,Communications,,LEO,Polar,0.0,1498.0,1508.0,0.000635,82.49,116.04,280,,300,2015-09-23,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2015-050C,40922.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Cosmos 2499,Russia,Ministry of Defense,Russia,Military,Technology Development,,LEO,Polar,0.0,1152.0,1503.0,0.0228,82.46,112.19,,,,2014-05-23,,Roskosmos/Russian Academy of Sciences ,Russia,Plesetsk Cosmodrome,Rokot,2014-028E,39765.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Rumba,ESA,European Space Agency (and 250 international scientific investigators),ESA,Government,Space Science,,Elliptical,Deep Highly Eccentric,0.0,17240.0,120715.0,0.687,90.8,3431.1,1200,478,224,2000-08-09,4,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-045A,26463.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Salsa,ESA,European Space Agency (and 250 international scientific investigators),ESA,Government,Space Science,,Elliptical,Deep Highly Eccentric,0.0,21998.0,110256.0,0.609,90.7,3418,1200,478,220,2000-07-16,4,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-041A,26410.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
